GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Parameters for Java,uk.co.spudsoft.params4j,SecretsSerializer,3,20,1,3,1,7,1,4,0,3
Parameters for Java,uk.co.spudsoft.params4j,ConfigurationProperty.Builder,0,46,0,0,0,13,0,7,0,7
Parameters for Java,uk.co.spudsoft.params4j,ConfigurationProperty,16,413,10,44,2,90,10,24,0,7
Parameters for Java,uk.co.spudsoft.params4j,FileType,7,70,0,0,1,10,1,4,1,4
Parameters for Java,uk.co.spudsoft.params4j,Params4J,0,4,0,0,0,1,0,1,0,1
Parameters for Java,uk.co.spudsoft.params4j,SecretsSerializer.DisablingSecretsSerializerAnnotationInspector,0,22,1,3,0,5,1,2,0,1
Parameters for Java,uk.co.spudsoft.params4j.impl,SystemPropertiesGatherer,7,40,0,2,3,11,2,3,2,2
Parameters for Java,uk.co.spudsoft.params4j.impl,CommandLineArgumentsGatherer,0,90,0,6,0,19,0,7,0,4
Parameters for Java,uk.co.spudsoft.params4j.impl,FileWatcher,7,129,3,11,4,34,3,9,0,5
Parameters for Java,uk.co.spudsoft.params4j.impl,SecretsWalker,36,208,4,16,6,48,5,12,1,6
Parameters for Java,uk.co.spudsoft.params4j.impl,ResourceGatherer,8,36,0,0,3,9,0,4,0,4
Parameters for Java,uk.co.spudsoft.params4j.impl,SecretsGatherer,6,74,0,2,2,19,0,6,0,5
Parameters for Java,uk.co.spudsoft.params4j.impl,EnvironmentVariablesGatherer,8,74,0,6,3,17,2,5,2,2
Parameters for Java,uk.co.spudsoft.params4j.impl,Params4JImpl,106,1158,36,112,22,230,36,74,2,34
Parameters for Java,uk.co.spudsoft.params4j.impl,MixIn,0,9,0,0,0,4,0,1,0,1
Parameters for Java,uk.co.spudsoft.params4j.impl,Params4JImpl.PropertyState,0,12,0,0,0,5,0,1,0,1
Parameters for Java,uk.co.spudsoft.params4j.impl,DefaultParametersErrorHandler,52,101,0,4,4,14,2,8,2,6
Parameters for Java,uk.co.spudsoft.params4j.impl,Params4JFactoryImpl,42,97,0,0,5,23,5,11,5,11
Parameters for Java,uk.co.spudsoft.params4j.impl,DirGatherer,22,141,4,14,5,28,4,9,0,4
Parameters for Java,uk.co.spudsoft.params4j.impl,JavadocCapturer,15,391,15,65,5,79,15,34,0,9
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocOptions,0,83,0,0,0,14,0,6,0,6
Parameters for Java,uk.co.spudsoft.params4j.doclet,TypeWriter.new SimpleTypeVisitor14() {...},0,16,0,0,0,4,0,4,0,4
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocLinkMaps,23,194,5,17,6,50,5,13,0,7
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocDocTreeWalker.TableState,0,51,0,0,0,9,0,1,0,1
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocElementVisitor,213,736,23,73,43,160,24,47,5,18
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocDocTreeWalker,63,634,24,100,11,146,24,54,0,16
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocOptions.new AbstractAsciiDocOption() {...},0,19,0,0,0,3,0,2,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocOptions.new AbstractAsciiDocOption() {...},0,50,0,4,0,7,0,4,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocOptions.new AbstractAsciiDocOption() {...},0,48,0,4,0,7,0,4,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocOptions.new AbstractAsciiDocOption() {...},0,12,0,0,0,2,0,2,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,TypeWriter,42,459,11,37,13,111,9,26,1,10
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocElementVisitor.new SimpleTypeVisitor14() {...},0,8,0,0,0,2,0,2,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocElementVisitor.new SimpleTypeVisitor14() {...},0,8,0,0,0,2,0,2,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocDoclet,6,44,0,0,2,12,2,5,2,5
Parameters for Java,uk.co.spudsoft.params4j.doclet,HtmlEntities,0,74,0,0,0,16,0,3,0,3
Parameters for Java,uk.co.spudsoft.params4j.doclet,AbstractAsciiDocOption,0,30,0,0,0,11,0,6,0,6
